query,doc,anchor_text-bm25,anchor_text-lmir,anchor_text-tfidf,body-bm25,body-lmir,body-tfidf,text-bm25,text-lmir,text-tfidf,title-bm25,title-lmir,title-tfidf,url_text-bm25,url_text-lmir,url_text-tfidf,pagerank,inlinks,outlinks
the music man 1962,clueweb09-enwp02-28-05314,11.84235,1.8538866000000005,3.2535956,8.991207000000003,6.342957,0.24651578,9.114124,6.502834,0.251031,12.885492,1.4439715,1.8301513,12.023121000000002,2.3129747000000003,1.3896555,0.15,0,1
the music man 1962,clueweb09-en0003-69-01067,14.062323999999998,3.626508,9.752226,8.952353,6.046822,0.27969983,8.932288,6.3848405,0.28714117,8.823360000000003,1.6489174,1.2192743,5.9084263,0.6086402,0.31912363,0.152173,0,29
the music man 1962,clueweb09-enwp01-96-10834,31.21758,13.301706,74.93705,13.059397,8.810947,0.37662768,13.945338,12.432945,0.64645046,13.466017,1.4592291000000002,1.8822246,12.023121000000002,2.3129747000000003,1.3896555,0.15,0,2
the music man 1962,clueweb09-en0004-25-27382,28.935825,9.1612,40.195087,8.856444,6.0710063,0.23208857,9.413265,7.565597,0.32182834,14.366701999999998,1.6593901999999998,1.5279199,12.023121000000002,2.3129747000000003,1.3896555,0.201526,0,41
the music man 1962,clueweb09-en0122-44-35424,0.0,0.0,0.0,4.28653,3.1504052,0.106947556,4.3029237,3.1512988,0.10924443,4.2551755999999985,0.50667995,0.17262950000000002,5.1769457,0.6070825,0.26593637,0.153355,0,6
the music man 1962,clueweb09-enwp01-45-05314,0.0,0.0,0.0,8.991207000000003,6.342957,0.24651578,9.099378,6.4593573,0.24853219,12.885492,1.4439715,1.8301513,12.023121000000002,2.3129747000000003,1.3896555,0.15,0,1
the music man 1962,clueweb09-en0005-51-22530,30.775896000000003,10.062704,41.727493,8.460279,4.5055237,0.20520253,9.589619,8.400519000000001,0.45372152,9.615852,1.4289116000000002,0.9469085,8.456799,2.3023992,0.97275877,0.15,0,21
the music man 1962,clueweb09-en0006-37-16339,23.662277,6.10473,28.222523,7.9257240000000015,5.0556183,0.28590494,7.640281,5.1463675,0.2721024,6.677316,1.6598939999999998,0.33836144,0.0,0.0,0.0,0.15,0,11
the music man 1962,clueweb09-en0005-26-09777,13.834621,5.020146400000002,7.0804515,9.81057,5.6384870000000005,0.2846863,11.855678,8.408561,0.4454045999999999,4.3625197,1.1395649,0.23925768,5.5754704,1.7030310000000002,0.34311306,0.418278,0,6
the music man 1962,clueweb09-en0091-40-03474,0.0,0.0,0.0,3.9199288,1.6844157,0.071845785,3.7978888,1.5100808,0.057266,0.0,0.0,0.0,0.0,0.0,0.0,0.199441,147,42
the music man 1962,clueweb09-en0010-54-25438,25.786415,10.222746,35.042297,9.300745,6.519154,0.33146805,9.700647,9.466411,0.6236255,7.5342197,1.423189,0.75752676,0.0,0.0,0.0,0.4915810000000001,0,27
